"id","supplier/supplier/id","seller_ids/product_code","supplier/min_qty","seller_ids/pricelist_ids/price","seller_ids/pricelist_ids/min_quantity"
"Product_00001","res_partner_supplier_0043",,1,,1
"Product_00002","res_partner_supplier_0043",,1,,1
"Product_00003","res_partner_supplier_0043",,1,,1
"Product_00004","res_partner_supplier_0043",,1,,1
"Product_00005","res_partner_supplier_0043",,1,,1
"Product_00006","res_partner_supplier_0043",,1,,1
"Product_00007","res_partner_supplier_0043",,1,,1
"Product_00008","res_partner_supplier_0043",,1,,1
"Product_00009","res_partner_supplier_0043",,1,,1
"Product_00010","res_partner_supplier_0043",,1,,1
"Product_00011","res_partner_supplier_0043",,1,,1
"Product_00012","res_partner_supplier_0043",,1,,1
"Product_00013","res_partner_supplier_0043",,1,,1
"Product_00014","res_partner_supplier_0043",,1,,1
"Product_00015","res_partner_supplier_0043",,1,,1
"Product_00016","res_partner_supplier_0043",,1,,1
"Product_00017","res_partner_supplier_0043",,1,,1
"Product_00018","res_partner_supplier_0043",,1,,1
"Product_00019","res_partner_supplier_0043",,1,,1
"Product_00020","res_partner_supplier_0043",,1,,1
"Product_00021","res_partner_supplier_0043",,1,,1
"Product_00022","res_partner_supplier_0043",,1,,1
"Product_00023","res_partner_supplier_0043",,1,,1
"Product_00024","res_partner_supplier_0043",,1,,1
"Product_00025","res_partner_supplier_0043",,1,,1
"Product_00026","res_partner_supplier_0043",,1,,1
"Product_00027","res_partner_supplier_0043",,1,,1
"Product_00028","res_partner_supplier_0043",,1,,1
"Product_00029","res_partner_supplier_0043",,1,,1
"Product_00030","res_partner_supplier_0043",,1,,1
"Product_00031","res_partner_supplier_0043",,1,,1
"Product_00032","res_partner_supplier_0043",,1,,1
"Product_00033","res_partner_supplier_0043",,1,,1
"Product_00034","res_partner_supplier_0043",,1,,1
"Product_00035","res_partner_supplier_0043",,1,,1
"Product_00036","res_partner_supplier_0043",,1,,1
"Product_00037","res_partner_supplier_0043",,1,,1
"Product_00038","res_partner_supplier_0043",,1,,1
"Product_00039","res_partner_supplier_0043",,1,,1
"Product_00040","res_partner_supplier_0043",,1,,1
"Product_00041","res_partner_supplier_0043",,1,,1
"Product_00042","res_partner_supplier_0043",,1,,1
"Product_00043","res_partner_supplier_0043",,1,,1
"Product_00044","res_partner_supplier_0043",,1,,1
"Product_00045","res_partner_supplier_0043",,1,,1
"Product_00046","res_partner_supplier_0043",,1,,1
"Product_00047","res_partner_supplier_0043",,1,,1
"Product_00048","res_partner_supplier_0043",,1,,1
"Product_00049","res_partner_supplier_0043",,1,,1
"Product_00050","res_partner_supplier_0043",,1,,1
"Product_00051","res_partner_supplier_0043",,1,,1
"Product_00052","res_partner_supplier_0043",,1,,1
"Product_00053","res_partner_supplier_0043",,1,,1
"Product_00054","res_partner_supplier_0043",,1,,1
"Product_00055","res_partner_supplier_0043",,1,,1
"Product_00056","res_partner_supplier_0043",,1,,1
"Product_00057","res_partner_supplier_0043",,1,,1
"Product_00058","res_partner_supplier_0043",,1,,1
